Organization Term Name,Variant Organization Name(s) (each term separated by ;),Catalog URL
Sac and Fox Nation,N/A,https://catalog.archives.gov/id/10442290
"San Carlos Apache Tribe of the San Carlos Reservation, Arizona",San Carlos Apache Tribe; San Carlos Apache Nation; San Carlos Apache Indians,https://catalog.archives.gov/id/175776570
"San Manuel Band of Mission Indians, California","San Manuel Band of Mission Indians; San Manuel Band of Serrano Mission Indians of the San Manuel Reservation, California

",https://catalog.archives.gov/id/178959509
San Pasqual Band of Diegueno Mission Indians of California,San Pasqual Band of Diegueno Mission Indians,https://catalog.archives.gov/id/178959523
"Santa Rosa Band of Cahuilla Indians, California",Santa Rosa Band of Cahuilla Indians,https://catalog.archives.gov/id/178959526
Seminole Tribes of Florida,N/A,https://catalog.archives.gov/id/176213818
Seneca Nation of Indians,Seneca,https://catalog.archives.gov/id/176213808
Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,Shoshone and Bannock Tribes,https://catalog.archives.gov/id/175776235
"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota",Sisseton Wahpeton Oyate Tribe,https://catalog.archives.gov/id/176215806
Skokomish Indian Tribe,N/A,https://catalog.archives.gov/id/10441069
"Soboba Band of Luiseno Indians, California",Soboba Band of Luiseno Indians,https://catalog.archives.gov/id/178960290
"Sokaogon Chippewa Community, Wisconsin",Mole Lake Band of Lake Superior Chippewa ; Mole Lake Band; Mole Lake Chippewa; Mole Lake Band of Chippewa; Mole Lake Band of Chippewa Indians,https://catalog.archives.gov/id/178931336
Southern Ute Indian Tribe,"LC Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado; Southern Ute Tribe; Southern Ute Tribe of the Southern Ute Reservation; Southern Ute Indian Tribe of the Southern Ute Reservation in Colorado; Southern Utes; SUIT",https://catalog.archives.gov/id/178960292
"Spirit Lake Tribe, North Dakota",Spirit Lake Tribe,https://catalog.archives.gov/id/175649122
Standing Rock Sioux Tribe of North & South Dakota,Standing Rock Sioux Tribe,https://catalog.archives.gov/id/10444475
Sycuan Band of the Kumeyaay Nation,N/A,https://catalog.archives.gov/id/178960295
The Cahuilla Band of Indians,"Cahuilla Band of Cahuilla Indians of the Cahuilla Reservation; Cahuilla Band of Mission Indians of the Cahuilla Reservation, California
",https://catalog.archives.gov/id/178931179
Tohono OÕodham Nation of Arizona,Tohono OÕodham Nation; Papago Tribe of Arizona,https://catalog.archives.gov/id/178960297
"Torres-Martinez Desert Cahuilla Indians, California",Torres-Martinez Desert Cahuilla Indians; TMDCI (Torres Martinez Desert Cahuilla Indians); Torres-Martinez Band of Cahuilla Mission Indians of California,https://catalog.archives.gov/id/178960299
Tulalip Tribes of Washington,Tulalip Tribes,https://catalog.archives.gov/id/175776522
Tule River Indian Tribe of California,"Tule River Indian Tribe of the Tule River Reservation; Tule River Indian Tribe of the Tule River Reservation, California; Tule River Indian Tribe; Tule River Bands of the Tule River Indian Reservation in the State of California; Tule River Tribe",https://catalog.archives.gov/id/178960301
Turtle Mountain Band of Chippewa Indians,N/A,https://catalog.archives.gov/id/10446069
Ute Indian Tribe,Ute Nation; Confederated Bands of the Ute Nation; Confederated Band of the Ute Nation; Confederate Bands of the Ute Nation of Indians,https://catalog.archives.gov/id/175776612
Viejas Band Of Kumeyaay Indians,Viejas Group of Capitan Grande Band of Mission Indians,https://catalog.archives.gov/id/178960303
White Mountain Apache Tribe,"Coyotero Apache Tribe; White Mountain Apache Indian Tribe; White Mountain Apache Tribe of the Fort Apache Reservation, Arizona; White Mountain Apache of the Fort Apache Indian Reservation; White Mountain Apache Tribe of Arizona",https://catalog.archives.gov/id/10441854
Wichita and Affiliated Tribes,N/A,https://catalog.archives.gov/id/178960306
Winnebago Tribe of Nebraska,N/A,https://catalog.archives.gov/id/10444931
Yankton Sioux Tribe of South Dakota,Yankton Sioux Tribe,https://catalog.archives.gov/id/10535791
